Date,Merchant,Amount,Payback
2024-03-18,"LONDON DRUGS 19 VANCOUVER, BC",14.69,
2024-03-18,"H-MART DOWNTOWN VANCOUVER, BC",4.98,
2024-03-18,"HANNAM SUPERMARKET ROB VANCOUVER, BC",100.96,
2024-03-18,"DOLLARAMA # 512 VANCOUVER, BC",3.93,
2024-03-18,"HANNAM SUPERMARKET ROB VANCOUVER, BC",,48.5
2024-03-18,"VANCOUVER PB RECREATION VANCOUVER, BC",,206
2024-03-18,"VANCOUVER PB RECREATIO VANCOUVER, BC",198.45,
2024-03-18,PAYMENT THANK YOU/PAIEMEN T MERCI,,200
2024-03-18,PAYMENT THANK YOU/PAIEMEN T MERCI,,400
2024-03-18,"VANCOUVER PB RECREATIO VANCOUVER, BC",198.45,
2024-03-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-03-15,"VANCOUVER PB RECREATIO VANCOUVER, BC",210,
2024-03-12,"BRAINSTATION TORONTO, ON",261.63,
2024-03-11,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,
2024-03-08,"COMPASS VENDING BURNABY, BC",11,
2024-03-08,"COMPASS VENDING BURNABY, BC",5,
2024-03-08,"WINNERS 358 VANCOUVER, BC",44.79,
2024-03-08,"DAISO CANADA CO LTD VANCOUVER, BC",2.81,
2024-03-08,PAYMENT THANK YOU/PAIEMEN T MERCI,,300
2024-03-05,"REAL CDN SUPERSTORE #1 BURNABY, BC",9.98,
2024-03-05,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2024-03-05,"ZHANGLIANG HOTPOT BURNABY, BC",25.4,
2024-03-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,90
2024-03-04,"COMPASS WEB 604-398-2042, BC",104.9,
2024-03-04,"CHURCH'S CHICKEN VANCOUVER, BC",3.25,
2024-02-26,"TREES CHEESCAKE & ORGANI VANCOUVER, BC",4.46,
2024-02-23,PURCHASE INTEREST,19.44,
2024-02-23,"PHO MIMOSA vancouver, BC",21.09,
2024-02-23,"COMMERCIAL STREET CAFE VANCOUVER, BC",3.94,
2024-02-23,"KIMS MART VANCOUVER, BC",5.23,
2024-02-21,"BRAINSTATION TORONTO, ON",261.63,
2024-02-21,PAYMENT THANK YOU/PAIEMEN T MERCI,,300
2024-02-20,"KIMS MART BURNABY, BC",10.72,
2024-02-16,"COMPASS WEB 604-398-2042, BC",6.25,
2024-02-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,70
2024-02-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-02-15,"PHO MIMOSA vancouver, BC",15.96,
2024-02-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
2024-02-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
2024-02-12,"VANCOUVER PB RECREATIO VANCOUVER, BC",217,
2024-02-12,"KIMS MART BURNABY, BC",14.79,
2024-02-12,"KIMS MART BURNABY, BC",2.09,
2024-02-12,PAYMENT THANK YOU/PAIEMEN T MERCI,,80
2024-02-09,PAYMENT THANK YOU/PAIEMEN T MERCI,,80
2024-02-09,"SAFEWAY #4931 VANCOUVER, BC",3.1,
2024-02-07,BLDZETY.COM 8446737863,34.95,
2024-02-06,CASHBACK/REMISE EN ARGENT,,26.9
2024-02-06,PAYMENT THANK YOU/PAIEMEN T MERCI,,150
2024-02-06,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2024-02-02,OVERLIMIT FEE,29,
2024-02-02,"COMPASS WEB 604-398-2042, BC",104.9,
2024-02-02,"HAPPY TREE HOUSE BBQ K Vancouver, BC",121.96,
2024-01-31,"BELL MOBILITY VERDUN, QC",,48.16
2024-01-30,"KIMS MART VANCOUVER, BC",15.97,
2024-01-29,"SQ *CAFE U PLACE Vancouver, BC",25.15,
2024-01-29,"BUY LOW FOODS 4531 BURNABY, BC",6.78,
2024-01-24,PURCHASE INTEREST,5.98,
2024-01-24,CASH INTEREST,0.05,
2024-01-23,"T&T SUPERMARKET #003 VANCOUVER, BC",5.59,
2024-01-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,200
2024-01-22,"SEA TO SKY GONDOLA SQUAMISH, BC",5,
2024-01-22,"SEA TO SKY GONDOLA SQUAMISH, BC",77.69,
2024-01-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2024-01-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,60
2024-01-22,"MCDONALD'S #40354 VANCOUVER, BC",1.35,
2024-01-22,"VANCOUVER PB RECREATIO VANCOUVER, BC",91.88,
2024-01-22,"SAVE ON FOODS #937 VANCOUVER, BC",38.98,
2024-01-16,"BRAINSTATION TORONTO, ON",261.63,
2024-01-15,"GOOGLE *Bell Media Inc g.co/helppay#, NS",8.96,
2024-01-15,"FIDO Mobile ******2258 888-481-3436, ON",35.63,
2024-01-15,"Deciem Distribution Inc. Toronto, ON",17.02,
2024-01-15,"FONDWAY BURNABY, BC",8.4,
2024-01-15,"REAL CDN SUPERSTORE #1 BURNABY, BC",19.36,
2024-01-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,280
2024-01-15,"BATH & BODY WORKS #6019 VANCOUVER, BC",3.81,
2024-01-11,PAYMENT THANK YOU/PAIEMEN T MERCI,,150
2024-01-11,"COMPASS WEB 604-398-2042, BC",104.9,
2024-01-11,"KIMS MART VANCOUVER, BC",8.98,
2024-01-10,"T&T SUPERMARKET #003 VANCOUVER, BC",8.74,
2024-01-09,"SAVE ON FOODS #2225 BURNABY, BC",6,
2024-01-09,"REAL CDN SUPERSTORE #1 BURNABY, BC",7.43,
2024-01-09,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2024-01-08,"COMPASS VENDING BURNABY, BC",10,
2024-01-08,"T&T SUPERMARKET #001 BURNABY, BC",3.99,
2024-01-08,"COMMERCIAL STREET CAFE VANCOUVER, BC",4.73,
2024-01-04,"MCDONALD'S #11057 BURNABY, BC",3.14,
2024-01-04,"REAL CDN SUPERSTORE #1 BURNABY, BC",16.78,
2024-01-03,"FAMOUS PLAYER 1408QPS BURNABY, BC",11.03,
2024-01-02,"KIMS MART VANCOUVER, BC",6.99,
2024-01-02,"BLENZ ON ROBSON & CARDER VANCOUVER, BC",4.53,
2024-01-02,"PHO 37 RESTAURANT Vancouver, BC",19.58,
2024-01-02,"REAL CDN SUPERSTORE #1 BURNABY, BC",2.99,
2024-01-02,"COMPASS WEB 604-398-2042, BC",10,
2024-01-02,"FIDO ROBSON VANCOUVER, BC",11.2,
2024-01-02,"HANNAM SUPERMARKET ROB VANCOUVER, BC",6.05,
2024-01-02,"REXALL PHARMACY #7149 VANCOUVER, BC",4,
2024-01-02,"COMPASS WEB 604-398-2042, BC",5.2,
2024-01-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,30
2024-01-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-12-29,"BELL MOBILITY VERDUN, QC",108.64,
2023-12-28,"SAVE ON FOODS #2225 BURNABY, BC",3.99,
2023-12-28,"REAL CDN SUPERSTORE #1 BURNABY, BC",9.78,
2023-12-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,80
2023-12-28,INTEREST REVERSAL,,0.1
2023-12-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-12-28,INTEREST REVERSAL,,0.12
2023-12-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2023-12-28,INTEREST REVERSAL,,0.06
2023-12-27,"HM Metropolis at Metrotow Burnaby, BC",95.73,
2023-12-27,"COMMERCIAL STREET CAFE VANCOUVER, BC",4.73,
2023-12-27,"T&T SUPERMARKET #001 BURNABY, BC",2.88,
2023-12-27,"TCKTWEB*CHRISTOPHER 800-965-4827, QC",34.05,
2023-12-27,BLDZETY.COM 8446737863,2.95,
2023-12-27,"Microsoft*Microsoft 365 P Mississauga, ON",8.96,
2023-12-27,"TIX* CHRISTOPHER SEATED.COM, NY",68.29,
2023-12-27,CASHBACK/REMISE EN ARGENT,,70.18
2023-12-27,"COMPASS WEB 604-398-2042, BC",11.4,
2023-12-27,"SAFEWAY #4966 VANCOUVER, BC",6.59,
2023-12-22,CASH INTEREST,0.33,
2023-12-22,"SQ *LEE'S DONUTS GRANVILL Vancouver, BC",15,
2023-12-22,"Amazon.ca*X43RW52U3 AMAZON.CA, ON",37.46,
2023-12-20,"CHURCH'S CHICKEN VANCOUVER, BC",11.5,
2023-12-19,"REAL CDN SUPERSTORE #1 BURNABY, BC",10.49,
2023-12-19,"REAL CDN SUPERSTORE #1 BURNABY, BC",22.8,
2023-12-18,"WINNERS 358 VANCOUVER, BC",67.19,
2023-12-18,"COMPASS WEB 604-398-2042, BC",10.45,
2023-12-18,"COMPASS WEB 604-398-2042, BC",11.25,
2023-12-18,"COMPASS WEB 604-398-2042, BC",11.25,
2023-12-18,"HONEY DOUGHNUTS AND GO NORTH VANCOUV, BC",12.6,
2023-12-18,"POKE FRESH VICTORIA, BC",37.7,
2023-12-18,"MURCHIE'S VICTORIA VICTORIA, BC",8.3,
2023-12-18,"MURCHIE'S VICTORIA VICTORIA, BC",8.95,
2023-12-18,"BLUE FOX CAFE LTD VICTORIA, BC",50.72,
2023-12-18,"JONES BAR-B-QUE VICTORIA, BC",57.5,
2023-12-18,"JONES BAR-B-QUE VICTORIA, BC",4.46,
2023-12-18,"BARD & BANKER PUB VICTORIA, BC",19.16,
2023-12-15,"BRAINSTATION TORONTO, ON",261.63,
2023-12-15,"H-MART DOWNTOWN VANCOUVER, BC",21.63,
2023-12-14,"Five Guys 1594 Vancouver, BC",33.04,
2023-12-14,"TMCANADA *RESALE 855-985-4357, ON",113.74,
2023-12-14,"HANNAM SUPERMARKET ROB VANCOUVER, BC",12.04,
2023-12-14,PAYMENT THANK YOU/PAIEMEN T MERCI,,500
2023-12-14,"VICTORIA'S SECRET STORE # VANCOUVER, BC",50.4,
2023-12-14,"SUPER GREAT PIZZA VANCOUVER, BC",11,
2023-12-14,"SAFEWAY #4931 VANCOUVER, BC",33.05,
2023-12-13,"CASHSTAR STARBUCKS GFT 877-850-1977, ON",25,
2023-12-13,CASH ADV/BT/CONV CHQ FEE,5,
2023-12-13,"COMPASS WEB 604-398-2042, BC",11.25,
2023-12-13,"COMPASS WEB 604-398-2042, BC",11.25,
2023-12-13,"49TH PARALLEL ROASTERS VANCOUVER, BC",8.93,
2023-12-13,"49TH PARALLEL ROASTERS VANCOUVER, BC",4.73,
2023-12-13,"DISTRICT FACTORY OUTLET VANCOUVER, BC",11.45,
2023-12-13,"GO FISH VANCOUVER, BC",17.51,
2023-12-13,"SQ *LEE'S DONUTS GRANVILL Vancouver, BC",2.75,
2023-12-13,"SQ *A LA MODE RESTAURANT Vancouver, BC",16.59,
2023-12-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,500
2023-12-12,"COMPASS WEB 604-398-2042, BC",10,
2023-12-11,"SAFEWAY #4931 VANCOUVER, BC",9.5,
2023-12-08,"VANCOUVER PB RECREATIO VANCOUVER, BC",214.73,
2023-12-07,"LONDON DRUGS POSTAL OUTLE VANCOUVER, BC",2.85,
2023-12-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,443.22
2023-12-07,"VANCOUVER PB RECREATIO VANCOUVER, BC",108.5,
2023-12-04,"REAL CDN SUPERSTORE #1 BURNABY, BC",26.65,
2023-12-04,"SAVE ON FOODS #2225 BURNABY, BC",5.24,
2023-12-04,"PRICESMART FOODS #2281 BURNABY, BC",5.99,
2023-12-04,"T&T SUPERMARKET #001 BURNABY, BC",5.99,
2023-12-04,"BCF - ONLINE SALES & BOOK VICTORIA, BC",76.8,
2023-12-01,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,
2023-12-01,"H-MART DOWNTOWN VANCOUVER, BC",2.48,
2023-12-01,"REAL CDN SUPERSTORE #1 BURNABY, BC",14.79,
2023-11-30,"Amazon.ca*3889N4IE3 AMAZON.CA, ON",13.07,
2023-11-30,"AMZN Mktp CA*649HK4WY3 WWW.AMAZON.CA, ON",24.06,
2023-11-30,AIRBNB * HMR3FRAQCK AIRBNB.COM,148.41,
2023-11-30,"HANNAM SUPERMARKET ROB VANCOUVER, BC",5.99,
2023-11-29,"URBAN FARE #7614 VANCOUVER, BC",5.76,
2023-11-28,"KIMS MART VANCOUVER, BC",31.82,
2023-11-27,CASH ADV/BT/CONV CHQ FEE,5,
2023-11-27,"COMPASS WEB 604-398-2042, BC",21.6,
2023-11-27,"BUY LOW FOODS 4513 VANCOUVER, BC",7.49,
2023-11-27,"CASHSTAR STARBUCKS GFT 877-850-1977, ON",25,
2023-11-27,"BELL MOBILITY VERDUN, QC",92.12,
2023-11-27,"LAILALAILA VICTORIA, BC",15.74,
2023-11-24,"MICROSOFT*STORE MSBILL.INFO, ON",8.96,
2023-11-24,"SQ *HODUYA BAKERY VANCOUVER, BC",47.25,
2023-11-24,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,
2023-11-22,"DOLLARAMA # 716 VANCOUVER, BC",3.64,
2023-11-22,AIRBNB * HMR3FRAQCK AIRBNB.COM,70,
2023-11-22,"T&T SUPERMARKET #029 VANCOUVER, BC",6.72,
2023-11-22,"BUTCHART GARDENS E-TIC BRENTWOOD BAY, BC",70,
2023-11-20,"DOLLARAMA # 716 VANCOUVER, BC",1.69,
2023-11-20,"COMMERCIAL STREET CAFE VANCOUVER, BC",10.51,
2023-11-20,"NGON BANH MI & TEA VANCOUVER, BC",8.15,
2023-11-20,"SAVE ON FOODS #940 VANCOUVER, BC",4.29,
2023-11-17,"REXALL PHARMACY #7174 VANCOUVER, BC",12.98,
2023-11-16,"KIMS MART VANCOUVER, BC",9.27,
2023-11-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,919.83
2023-11-14,"COMPASS WEB 604-398-2042, BC",23.95,
2023-11-14,"BCF - ONLINE SALES & BOOK VICTORIA, BC",19.2,
2023-11-14,"BCF - ONLINE SALES & BOOK VICTORIA, BC",19.2,
2023-11-14,AIRBNB * HMRQM4YDB5 AIRBNB.COM,285.51,
2023-11-14,"BRAINSTATION TORONTO, ON",261.63,
2023-11-14,"TT* ROAMTRANSI NOV11 BANFF, AB",2,
2023-11-14,"MS* SAMESUNBANFF VANCOUVER, BC",70.68,
2023-11-14,"PHO HOAI VIETNAMESE BEEF CALGARY, AB",12.59,
2023-11-14,"FAIRMONT CHATEAU LAKE LOU LAKE LOUISE, AB",5.51,
2023-11-14,"CALGARY TRANSIT CALGARY, AB",3.6,
2023-11-14,"GONG CHA CALGARY, AB",5.03,
2023-11-14,"SQ *EVELYNS COFFEE BAR Banff, AB",3.1,
2023-11-14,"BANFF AVE BREWING CO BANFF, AB",38.7,
2023-11-14,"BANFF HOT SP/S THERMALES BANFF, AB",16.5,
2023-11-14,"TT* ROAMTRANSI NOV11 BANFF, AB",2,
2023-11-14,VIATORTRIPADVISOR UK LONDON,337.42,
2023-11-14,PAYMENT THANK YOU/PAIEMEN T MERCI,,930
2023-11-10,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,
2023-11-09,"KIMS MART VANCOUVER, BC",15.09,
2023-11-09,PAYMENT THANK YOU/PAIEMEN T MERCI,,80
2023-11-09,"AIR CAN* 0142183545572 AIRCANADA.COM, MB",303.3,
2023-11-09,"SAFEWAY #4966 VANCOUVER, BC",7.28,
2023-11-09,"AIR CAN* 0142183545512 AIRCANADA.COM, MB",277.66,
2023-11-08,"T&T SUPERMARKET #029 VANCOUVER, BC",15.55,
2023-11-08,PAYMENT THANK YOU/PAIEMEN T MERCI,,500
2023-11-07,"SQ *ANALOG COFFEE YALETOW Vancouver, BC",4.2,
2023-11-07,"KIMS MART VANCOUVER, BC",14.11,
2023-11-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-11-06,"HANNAM SUPERMARKET ROB VANCOUVER, BC",18.82,
2023-11-06,"SQ *ANALOG COFFEE YALETOW Vancouver, BC",4.36,
2023-11-06,"COMPASS WEB 604-398-2042, BC",20,
2023-11-03,PAYMENT THANK YOU/PAIEMEN T MERCI,,70
2023-11-02,"VIVO GREEN CORPORATION CALGARY, AB",129.8,
2023-10-31,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",8.97,
2023-10-31,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-10-30,"KIMS MART VANCOUVER, BC",21.69,
2023-10-30,"AMZN Mktp CA*O88WT9703 WWW.AMAZON.CA, ON",54.69,
2023-10-30,"COMPASS VENDING BURNABY, BC",10,
2023-10-30,"GIOVANE CAFFE VANCOUVER, BC",4.15,
2023-10-27,"BELL MOBILITY VERDUN, QC",75.5,
2023-10-27,PAYMENT THANK YOU/PAIEMEN T MERCI,,150
2023-10-26,"COMPASS WEB 604-398-2042, BC",10,
2023-10-26,"HANNAM SUPERMARKET ROB VANCOUVER, BC",9.99,
2023-10-24,PURCHASE INTEREST,0.09,
2023-10-24,"BUY LOW FOODS 4513 VANCOUVER, BC",12,
2023-10-23,"AMZN Mktp CA*WL3879UZ3 WWW.AMAZON.CA, ON",52.63,
2023-10-23,"KIMS MART VANCOUVER, BC",11.17,
2023-10-23,"STARBUCKS 800-782-7282 800-782-7282, ON",10,
2023-10-23,"REAL CDN SUPERSTORE #1 BURNABY, BC",28.91,
2023-10-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,44.58
2023-10-23,"WAL-MART SUPERCENTER#1213 BURNABY, BC",3.77,
2023-10-20,CASHBACK/REMISE EN ARGENT,,40.65
2023-10-20,"TREES ORGANIC COFFEE VANCOUVER, BC",4.46,
2023-10-19,"VANCOUVER PB RECREATIO VANCOUVER, BC",73.5,
2023-10-19,"VANCOUVER PB RECREATIO VANCOUVER, BC",73.5,
2023-10-19,"DISTRICT FACTORY OUTLET VANCOUVER, BC",4.45,
2023-10-19,"COMPASS VENDING BURNABY, BC",10,
2023-10-19,PAYMENT THANK YOU/PAIEMEN T MERCI,,200
2023-10-18,"AMZN Mktp CA*TP5118292 WWW.AMAZON.CA, ON",27.99,
2023-10-18,"AMZN Mktp CA*TP9NU2P61 WWW.AMAZON.CA, ON",35.45,
2023-10-17,"AMZN Mktp CA*TP6AJ5602 WWW.AMAZON.CA, ON",29.1,
2023-10-16,"REAL CDN SUPERSTORE #1 BURNABY, BC",1.31,
2023-10-16,"T&T SUPERMARKET #001 BURNABY, BC",11.57,
2023-10-16,"PRICESMART FOODS #2281 BURNABY, BC",5.79,
2023-10-13,"BRAINSTATION TORONTO, ON",261.63,
2023-10-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,400
2023-10-12,"NGON BANH MI & TEA VANCOUVER, BC",5.5,
2023-10-12,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2023-10-11,"T&T SUPERMARKET #029 VANCOUVER, BC",9.88,
2023-10-11,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-10-10,"DAISO METROTOWN BURNABY, BC",2.81,
2023-10-10,"PRICESMART FOODS #2281 BURNABY, BC",8.9,
2023-10-10,"T&T SUPERMARKET #001 BURNABY, BC",5.99,
2023-10-10,"COMPASS VENDING BURNABY, BC",10,
2023-10-10,"BIG WAY HOT POT BURNABY, BC",27.73,
2023-10-10,"HANNAM SUPERMARKET BUR BURNABY, BC",27.96,
2023-10-10,"STARBUCKS 800-782-7282 800-782-7282, ON",10,
2023-10-10,"H-MART COQUITLAM, BC",91.67,
2023-10-10,"HANNAM SUPERMARKET BUR BURNABY, BC",28.49,
2023-10-10,"WAL-MART SUPERCENTER#1213 BURNABY, BC",4.7,
2023-10-10,"T&T SUPERMARKET #001 BURNABY, BC",13.61,
2023-10-10,"PRICESMART FOODS #2281 BURNABY, BC",24.88,
2023-10-10,"WAL-MART SUPERCENTER#1213 BURNABY, BC",18.75,
2023-10-06,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-10-06,"BELL MOBILITY VERDUN, QC",72.8,
2023-10-06,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2023-10-06,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-10-06,"TREES ORGANIC COFFEE VANCOUVER, BC",4.46,
2023-10-05,"AMZN Mktp CA*TE5DZ7Z32 WWW.AMAZON.CA, ON",12.3,
2023-10-05,"SAVE ON FOODS #2225 BURNABY, BC",6.99,
2023-10-05,"REAL CDN SUPERSTORE #1 BURNABY, BC",33,
2023-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2023-10-04,"AMZN Mktp CA*T919Q1FJ1 WWW.AMAZON.CA, ON",11.19,
2023-10-04,"AMZN Mktp CA*T98CA8Y12 WWW.AMAZON.CA, ON",21.16,
2023-10-04,"AMZN Mktp CA*T93DX4OP1 WWW.AMAZON.CA, ON",6.69,
2023-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,30
2023-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,30
2023-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
2023-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2023-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,10
2023-10-03,"SAVE ON FOODS #940 VANCOUVER, BC",15.99,
2023-10-03,"NGON BANH MI & TEA VANCOUVER, BC",5,
2023-10-03,"T&T SUPERMARKET #029 VANCOUVER, BC",5.32,
2023-10-03,"CHICKO CHICKEN VANCOUVER VANCOUVER, BC",17.26,
2023-10-03,"H-MART COQUITLAM, BC",12.3,
2023-10-03,"HANNAM SUPERMARKET BUR BURNABY, BC",128.25,
2023-10-03,"SAVE ON FOODS #940 VANCOUVER, BC",48.92,
2023-10-03,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2023-09-29,PAYMENT THANK YOU/PAIEMEN T MERCI,,160
2023-09-28,"BRAINSTATION TORONTO, ON",157.5,
2023-09-28,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",19.51,
2023-09-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
2023-09-28,"TREES ORGANIC COFFEE VANCOUVER, BC",9.55,
2023-09-26,PAYMENT THANK YOU/PAIEMEN T MERCI,,10
2023-09-25,"IKEA RICHMOND RICHMOND, BC",2.22,
2023-09-25,"T&T SUPERMARKET #025 VANCOUVER, BC",5.88,
2023-09-25,"TORIMARU VANCOUVER, BC",13.44,
2023-09-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
2023-09-25,INTEREST REVERSAL,,0.03
2023-09-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,30
2023-09-25,INTEREST REVERSAL,,0.05
2023-09-25,"OJAS BLEND VANCOUVER, BC",12.85,
2023-09-25,"STARBUCKS 800-782-7282 800-782-7282, ON",10,
2023-09-22,PURCHASE INTEREST,7.03,
2023-09-22,"BUY LOW FOODS 4513 VANCOUVER, BC",16.99,
2023-09-22,"SHOPPERS DRUG MART #22 VANCOUVER, BC",4.49,
2023-09-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,50
2023-09-21,"VICTORIA'S SECRET STORE # VANCOUVER, BC",44.69,
2023-09-21,"MCDONALD'S #40298 VANCOUVER, BC",2.93,
2023-09-21,"PHO 37 RESTAURANT Vancouver, BC",19.58,
2023-09-20,"SING SING BEER BAR VANCOUVER, BC",26.67,
2023-09-20,PAYMENT THANK YOU/PAIEMEN T MERCI,,30
2023-09-20,"WAL-MART SUPERCENTER#1213 BURNABY, BC",3.97,
2023-09-19,"THE MIGHTY OAK VANCOUVER, BC",3.94,
2023-09-19,"REAL CDN SUPERSTORE #1 BURNABY, BC",21.62,
2023-09-19,PAYMENT THANK YOU/PAIEMEN T MERCI,,40
2023-09-18,"T&T SUPERMARKET #001 BURNABY, BC",13.31,
2023-09-18,"SHOPPERS DRUG MART 227 VANCOUVER, BC",3.99,
2023-09-15,"WHOLE FOODS MARKET VANCOUVER, BC",4.99,
2023-09-15,"SAFEWAY #4941 VANCOUVER, BC",22.37,
2023-09-13,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",4.18,
2023-09-11,BLDZETY.COMRESUME 8446737863,4,
2023-09-11,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.2,
2023-09-11,"SAVE ON FOODS #921 VICTORIA, BC",2.61,
2023-09-11,PAYMENT THANK YOU/PAIEMEN T MERCI,,80
2023-09-11,"BISTRO CHI-Q VICTORIA, BC",30.45,
2023-09-11,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",3.07,
2023-09-11,"VICTORIA POCHA VICTORIA, BC",21.95,
2023-09-08,"GREEN LEAF VIETNAMESE BIS VICTORIA, BC",69.3,
2023-09-08,"RAMEN ARASHI VICTORIA, BC",25.3,
2023-09-07,"POPEYES #13590 RICHMOND, BC",12.26,
2023-09-07,"BCF-TSA SELF SERVE TICKET DELTA, BC",19.2,
2023-09-07,"COMPASS VENDING BURNABY, BC",10,
2023-09-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,200
2023-09-06,"SQ *HODUYA BAKERY VANCOUVER, BC",24.15,
2023-09-06,PAYMENT THANK YOU/PAIEMEN T MERCI,,80
2023-09-05,"WINNERSHOMESENSE 40207 VANCOUVER, BC",23.5,
2023-09-05,"WHOLE FOODS MARKET VANCOUVER, BC",6.56,
2023-09-05,"SAVE ON FOODS #937 VANCOUVER, BC",15.89,
2023-09-05,"SHOPPERS DRUG MART #22 VANCOUVER, BC",11.89,
2023-09-05,"KIN'S FARM CSQ VANCOUVER, BC",2.28,
2023-09-05,"HELLCRUST PIZZA VANCOUVER, BC",8.39,
2023-09-05,"COMPASS VENDING BURNABY, BC",10,
2023-09-05,"SAVE ON FOODS #937 VANCOUVER, BC",9.35,
2023-09-05,"OO LALA BURNABY, BC",24.15,
2023-09-01,"MCDONALD'S #1449 COQUITLAM, BC",3.45,
2023-09-01,"OO LALA BURNABY, BC",16.63,
2023-08-31,"COMPASS VENDING BURNABY, BC",10,
2023-08-31,CASHBACK/REMISE EN ARGENT,,26.91
2023-08-30,"SOL LEE'S COQUITLAM, BC",26.03,
2023-08-30,PAYMENT THANK YOU/PAIEMEN T MERCI,,80
2023-08-29,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
2023-08-29,"WAL-MART SUPERCENTER#3008 BURNABY, BC",12.79,
2023-08-28,"COMPASS VENDING BURNABY, BC",10,
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",31.45,
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",34.6,
2023-08-28,"BELL MOBILITY VERDUN, QC",74.15,
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",17.11,
2023-08-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",8.9,
2023-08-28,"DAE BAK BON GA RESTAURANT VANCOUVER, BC",25.4,
2023-08-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2023-08-25,"AT* VANCOUVER AQUARIUM VANCOUVER, BC",42.7,
2023-08-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,60
2023-08-25,"ANGUS T VANCOUVER, BC",4.99,
2023-08-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,4
2023-08-25,"H-MART COQUITLAM, BC",6.29,
2023-08-24,"STARBUCKS 800-782-7282 800-782-7282, ON",10,
2023-08-24,"HANNAM SUPERMARKET BUR BURNABY, BC",17.43,
2023-08-24,"COMPASS VENDING BURNABY, BC",10,
2023-08-24,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
2023-08-21,ATP MEDIA ESHER,2,
2023-08-18,"WATER STREET CAFE VANCOUVER, BC",26.14,
2023-08-17,"GROUNDS FOR COFFEE INC VANCOUVER, BC",4.73,
2023-08-17,PAYMENT THANK YOU/PAIEMEN T MERCI,,20
