Date,Merchant,Amount,Category
2024-03-25,"LONDON DRUGS 02 VANCOUVER, BC",13.98,MARKET
2024-03-25,"H-MART DOWNTOWN VANCOUVER, BC",16.25,MARKET
2024-03-25,"T&T SUPERMARKET #029 VANCOUVER, BC",4.99,MARKET
2024-03-25,"DOLLARAMA # 716 VANCOUVER, BC",11.2,MARKET
2024-03-25,"Jones BarBQue Victoria 855-999-3729, BC",34.12,EDUCATION
2024-03-25,"SQ *ANALOG COFFEE YALETOW Vancouver, BC",4.36,CAFE
2024-03-25,"DAISO CANADA CO LTD VANCOUVER, BC",2.81,MARKET
2024-03-25,"HANNAM SUPERMARKET YAL VANCOUVER, BC",19.99,MARKET
2024-03-25,"BATH & BODY WORKS BURNABY, BC",16.09,MARKET
2024-03-22,PURCHASE INTEREST,0.04,OTHER
2024-03-22,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2024-03-22,"CRYSTAL COVE BEACH RESORT TOFINO, BC",235.43,TRAVEL
2024-03-22,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.2,UTILITY
2024-03-22,"BCF-TSA SELF SERVE TICKET DELTA, BC",19.2,UTILITY
2024-03-22,"SQ *RED FISH BLUE FISH Victoria, BC",16.8,EDUCATION
2024-03-22,"SHOPPERS DRUG MART #02 VICTORIA, BC",8.95,MARKET
2024-03-19,"KIMS MART VANCOUVER, BC",20.36,MARKET
2024-03-18,"VANCOUVER PB RECREATIO VANCOUVER, BC",198.45,WORKOUT
2024-03-18,"VANCOUVER PB RECREATIO VANCOUVER, BC",198.45,WORKOUT
2024-03-18,"DOLLARAMA # 512 VANCOUVER, BC",3.93,MARKET
2024-03-18,"HANNAM SUPERMARKET ROB VANCOUVER, BC",100.96,MARKET
2024-03-18,"H-MART DOWNTOWN VANCOUVER, BC",4.98,MARKET
2024-03-18,"LONDON DRUGS 19 VANCOUVER, BC",14.69,MARKET
2024-03-18,"AMZN Mktp CA*RH62P7V50 WWW.AMAZON.CA, ON",72.28,ONLINE
2024-03-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-03-15,"VANCOUVER PB RECREATIO VANCOUVER, BC",210.0,WORKOUT
2024-03-12,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-03-11,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,MARKET
2024-03-08,"COMPASS VENDING BURNABY, BC",11.0,UTILITY
2024-03-08,"COMPASS VENDING BURNABY, BC",5.0,UTILITY
2024-03-08,"WINNERS 358 VANCOUVER, BC",44.79,OFFLINE
2024-03-08,"DAISO CANADA CO LTD VANCOUVER, BC",2.81,MARKET
2024-03-05,"REAL CDN SUPERSTORE #1 BURNABY, BC",9.98,MARKET
2024-03-05,"ZHANGLIANG HOTPOT BURNABY, BC",25.4,RESTAURANT
2024-03-04,"COMPASS WEB 604-398-2042, BC",104.9,UTILITY
2024-03-04,"CHURCH'S CHICKEN VANCOUVER, BC",3.25,RESTAURANT
2024-02-26,"TREES CHEESCAKE & ORGANI VANCOUVER, BC",4.46,CAFE
2024-02-23,"KIMS MART VANCOUVER, BC",5.23,MARKET
2024-02-23,"PHO MIMOSA vancouver, BC",21.09,RESTAURANT
2024-02-23,"COMMERCIAL STREET CAFE VANCOUVER, BC",3.94,CAFE
2024-02-23,PURCHASE INTEREST,19.44,OTHER
2024-02-21,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-02-20,"KIMS MART BURNABY, BC",10.72,MARKET
2024-02-16,"COMPASS WEB 604-398-2042, BC",6.25,UTILITY
2024-02-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-02-15,"PHO MIMOSA vancouver, BC",15.96,RESTAURANT
2024-02-12,"VANCOUVER PB RECREATIO VANCOUVER, BC",217.0,WORKOUT
2024-02-12,"KIMS MART BURNABY, BC",14.79,MARKET
2024-02-12,"KIMS MART BURNABY, BC",2.09,MARKET
2024-02-09,"SAFEWAY #4931 VANCOUVER, BC",3.1,MARKET
2024-02-07,BLDZETY.COM 8446737863,34.95,OTHER
2024-02-02,OVERLIMIT FEE,29.0,OTHER
2024-02-02,"COMPASS WEB 604-398-2042, BC",104.9,UTILITY
2024-02-02,"HAPPY TREE HOUSE BBQ K Vancouver, BC",121.96,RESTAURANT
2024-01-30,"KIMS MART VANCOUVER, BC",15.97,MARKET
2024-01-29,"SQ *CAFE U PLACE Vancouver, BC",25.15,CAFE
2024-01-29,"BUY LOW FOODS 4531 BURNABY, BC",6.78,MARKET
2024-01-24,CASH INTEREST,0.05,OTHER
2024-01-24,PURCHASE INTEREST,5.98,OTHER
2024-01-23,"T&T SUPERMARKET #003 VANCOUVER, BC",5.59,MARKET
2024-01-22,"SEA TO SKY GONDOLA SQUAMISH, BC",5.0,TRAVEL
2024-01-22,"SEA TO SKY GONDOLA SQUAMISH, BC",77.69,TRAVEL
2024-01-22,"MCDONALD'S #40354 VANCOUVER, BC",1.35,RESTAURANT
2024-01-22,"VANCOUVER PB RECREATIO VANCOUVER, BC",91.88,WORKOUT
2024-01-22,"SAVE ON FOODS #937 VANCOUVER, BC",38.98,MARKET
2024-01-16,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-01-15,"GOOGLE *Bell Media Inc g.co/helppay#, NS",8.96,OTHER
2024-01-15,"FIDO Mobile ******2258 888-481-3436, ON",35.63,UTILITY
2024-01-15,"Deciem Distribution Inc. Toronto, ON",17.02,OTHER
2024-01-15,"FONDWAY BURNABY, BC",8.4,CAFE
2024-01-15,"REAL CDN SUPERSTORE #1 BURNABY, BC",19.36,MARKET
2024-01-15,"BATH & BODY WORKS #6019 VANCOUVER, BC",3.81,OFFLINE
2024-01-11,"KIMS MART VANCOUVER, BC",8.98,MARKET
2024-01-11,"COMPASS WEB 604-398-2042, BC",104.9,UTILITY
2024-01-10,"T&T SUPERMARKET #003 VANCOUVER, BC",8.74,MARKET
2024-01-09,"SAVE ON FOODS #2225 BURNABY, BC",6.0,MARKET
2024-01-09,"REAL CDN SUPERSTORE #1 BURNABY, BC",7.43,MARKET
2024-01-08,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2024-01-08,"T&T SUPERMARKET #001 BURNABY, BC",3.99,MARKET
2024-01-08,"COMMERCIAL STREET CAFE VANCOUVER, BC",4.73,CAFE
2024-01-04,"MCDONALD'S #11057 BURNABY, BC",3.14,RESTAURANT
2024-01-04,"REAL CDN SUPERSTORE #1 BURNABY, BC",16.78,MARKET
2024-01-03,"FAMOUS PLAYER 1408QPS BURNABY, BC",11.03,OTHER
2024-01-02,"COMPASS WEB 604-398-2042, BC",5.2,UTILITY
2024-01-02,"REXALL PHARMACY #7149 VANCOUVER, BC",4.0,MARKET
2024-01-02,"HANNAM SUPERMARKET ROB VANCOUVER, BC",6.05,MARKET
2024-01-02,"FIDO ROBSON VANCOUVER, BC",11.2,UTILITY
2024-01-02,"COMPASS WEB 604-398-2042, BC",10.0,UTILITY
2024-01-02,"BLENZ ON ROBSON & CARDER VANCOUVER, BC",4.53,CAFE
2024-01-02,"KIMS MART VANCOUVER, BC",6.99,MARKET
2024-01-02,"REAL CDN SUPERSTORE #1 BURNABY, BC",2.99,MARKET
2024-01-02,"PHO 37 RESTAURANT Vancouver, BC",19.58,RESTAURANT
2023-12-29,"BELL MOBILITY VERDUN, QC",108.64,UTILITY
2023-12-28,"REAL CDN SUPERSTORE #1 BURNABY, BC",9.78,MARKET
2023-12-28,"SAVE ON FOODS #2225 BURNABY, BC",3.99,MARKET
2023-12-27,"Microsoft*Microsoft 365 P Mississauga, ON",8.96,OTHER
2023-12-27,"SAFEWAY #4966 VANCOUVER, BC",6.59,MARKET
2023-12-27,"TIX* CHRISTOPHER SEATED.COM, NY",68.29,CULTURE
2023-12-27,"COMPASS WEB 604-398-2042, BC",11.4,UTILITY
2023-12-27,BLDZETY.COM 8446737863,2.95,OTHER
2023-12-27,"TCKTWEB*CHRISTOPHER 800-965-4827, QC",34.05,CULTURE
2023-12-27,"T&T SUPERMARKET #001 BURNABY, BC",2.88,MARKET
2023-12-27,"COMMERCIAL STREET CAFE VANCOUVER, BC",4.73,CAFE
2023-12-27,"HM Metropolis at Metrotow Burnaby, BC",95.73,OFFLINE
2023-12-22,"SQ *LEE'S DONUTS GRANVILL Vancouver, BC",15.0,CAFE
2023-12-22,"Amazon.ca*X43RW52U3 AMAZON.CA, ON",37.46,ONLINE
2023-12-22,CASH INTEREST,0.33,OTHER
2023-12-20,"CHURCH'S CHICKEN VANCOUVER, BC",11.5,RESTAURANT
2023-12-19,"REAL CDN SUPERSTORE #1 BURNABY, BC",10.49,MARKET
2023-12-19,"REAL CDN SUPERSTORE #1 BURNABY, BC",22.8,MARKET
2023-12-18,"MURCHIE'S VICTORIA VICTORIA, BC",8.3,EDUCATION
2023-12-18,"BARD & BANKER PUB VICTORIA, BC",19.16,EDUCATION
2023-12-18,"JONES BAR-B-QUE VICTORIA, BC",4.46,EDUCATION
2023-12-18,"JONES BAR-B-QUE VICTORIA, BC",57.5,EDUCATION
2023-12-18,"BLUE FOX CAFE LTD VICTORIA, BC",50.72,CAFE
2023-12-18,"MURCHIE'S VICTORIA VICTORIA, BC",8.95,EDUCATION
2023-12-18,"POKE FRESH VICTORIA, BC",37.7,EDUCATION
2023-12-18,"COMPASS WEB 604-398-2042, BC",10.45,UTILITY
2023-12-18,"WINNERS 358 VANCOUVER, BC",67.19,OFFLINE
2023-12-18,"HONEY DOUGHNUTS AND GO NORTH VANCOUV, BC",12.6,CAFE
2023-12-18,"COMPASS WEB 604-398-2042, BC",11.25,UTILITY
2023-12-18,"COMPASS WEB 604-398-2042, BC",11.25,UTILITY
2023-12-15,"H-MART DOWNTOWN VANCOUVER, BC",21.63,MARKET
2023-12-15,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2023-12-14,"TMCANADA *RESALE 855-985-4357, ON",113.74,OTHER
2023-12-14,"HANNAM SUPERMARKET ROB VANCOUVER, BC",12.04,MARKET
2023-12-14,"VICTORIA'S SECRET STORE # VANCOUVER, BC",50.4,EDUCATION
2023-12-14,"SUPER GREAT PIZZA VANCOUVER, BC",11.0,RESTAURANT
2023-12-14,"SAFEWAY #4931 VANCOUVER, BC",33.05,MARKET
2023-12-14,"Five Guys 1594 Vancouver, BC",33.04,RESTAURANT
2023-12-13,"49TH PARALLEL ROASTERS VANCOUVER, BC",4.73,CAFE
2023-12-13,"GO FISH VANCOUVER, BC",17.51,RESTAURANT
2023-12-13,"DISTRICT FACTORY OUTLET VANCOUVER, BC",11.45,OFFLINE
2023-12-13,"SQ *A LA MODE RESTAURANT Vancouver, BC",16.59,RESTAURANT
2023-12-13,"49TH PARALLEL ROASTERS VANCOUVER, BC",8.93,CAFE
2023-12-13,CASH ADV/BT/CONV CHQ FEE,5.0,OTHER
2023-12-13,"CASHSTAR STARBUCKS GFT 877-850-1977, ON",25.0,CAFE
2023-12-13,"COMPASS WEB 604-398-2042, BC",11.25,UTILITY
2023-12-13,"SQ *LEE'S DONUTS GRANVILL Vancouver, BC",2.75,CAFE
2023-12-13,"COMPASS WEB 604-398-2042, BC",11.25,UTILITY
2023-12-12,"COMPASS WEB 604-398-2042, BC",10.0,UTILITY
2023-12-11,"SAFEWAY #4931 VANCOUVER, BC",9.5,MARKET
2023-12-08,"VANCOUVER PB RECREATIO VANCOUVER, BC",214.73,WORKOUT
2023-12-07,"LONDON DRUGS POSTAL OUTLE VANCOUVER, BC",2.85,MARKET
2023-12-07,"VANCOUVER PB RECREATIO VANCOUVER, BC",108.5,WORKOUT
2023-12-04,"SAVE ON FOODS #2225 BURNABY, BC",5.24,MARKET
2023-12-04,"PRICESMART FOODS #2281 BURNABY, BC",5.99,MARKET
2023-12-04,"T&T SUPERMARKET #001 BURNABY, BC",5.99,MARKET
2023-12-04,"BCF - ONLINE SALES & BOOK VICTORIA, BC",76.8,EDUCATION
2023-12-04,"REAL CDN SUPERSTORE #1 BURNABY, BC",26.65,MARKET
2023-12-01,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,MARKET
2023-12-01,"H-MART DOWNTOWN VANCOUVER, BC",2.48,MARKET
2023-12-01,"REAL CDN SUPERSTORE #1 BURNABY, BC",14.79,MARKET
2023-11-30,"HANNAM SUPERMARKET ROB VANCOUVER, BC",5.99,MARKET
2023-11-30,"Amazon.ca*3889N4IE3 AMAZON.CA, ON",13.07,ONLINE
2023-11-30,AIRBNB * HMR3FRAQCK AIRBNB.COM,148.41,UTILITY
2023-11-30,"AMZN Mktp CA*649HK4WY3 WWW.AMAZON.CA, ON",24.06,ONLINE
2023-11-29,"URBAN FARE #7614 VANCOUVER, BC",5.76,OFFLINE
2023-11-28,"KIMS MART VANCOUVER, BC",31.82,MARKET
2023-11-27,CASH ADV/BT/CONV CHQ FEE,5.0,OTHER
2023-11-27,"COMPASS WEB 604-398-2042, BC",21.6,UTILITY
2023-11-27,"BUY LOW FOODS 4513 VANCOUVER, BC",7.49,MARKET
2023-11-27,"CASHSTAR STARBUCKS GFT 877-850-1977, ON",25.0,CAFE
2023-11-27,"BELL MOBILITY VERDUN, QC",92.12,UTILITY
2023-11-27,"LAILALAILA VICTORIA, BC",15.74,EDUCATION
2023-11-24,"MICROSOFT*STORE MSBILL.INFO, ON",8.96,OTHER
2023-11-24,"SQ *HODUYA BAKERY VANCOUVER, BC",47.25,CAFE
2023-11-24,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,MARKET
2023-11-22,"T&T SUPERMARKET #029 VANCOUVER, BC",6.72,MARKET
2023-11-22,"BUTCHART GARDENS E-TIC BRENTWOOD BAY, BC",70.0,TRAVEL
2023-11-22,AIRBNB * HMR3FRAQCK AIRBNB.COM,70.0,UTILITY
2023-11-22,"DOLLARAMA # 716 VANCOUVER, BC",3.64,MARKET
2023-11-20,"DOLLARAMA # 716 VANCOUVER, BC",1.69,MARKET
2023-11-20,"COMMERCIAL STREET CAFE VANCOUVER, BC",10.51,CAFE
2023-11-20,"NGON BANH MI & TEA VANCOUVER, BC",8.15,RESTAURANT
2023-11-20,"SAVE ON FOODS #940 VANCOUVER, BC",4.29,MARKET
2023-11-17,"REXALL PHARMACY #7174 VANCOUVER, BC",12.98,MARKET
2023-11-16,"KIMS MART VANCOUVER, BC",9.27,MARKET
2023-11-14,VIATORTRIPADVISOR UK LONDON,337.42,TRAVEL
2023-11-14,"TT* ROAMTRANSI NOV11 BANFF, AB",2.0,TRAVEL
2023-11-14,"BANFF HOT SP/S THERMALES BANFF, AB",16.5,TRAVEL
2023-11-14,"BANFF AVE BREWING CO BANFF, AB",38.7,TRAVEL
2023-11-14,"SQ *EVELYNS COFFEE BAR Banff, AB",3.1,CAFE
2023-11-14,"GONG CHA CALGARY, AB",5.03,CAFE
2023-11-14,"CALGARY TRANSIT CALGARY, AB",3.6,TRAVEL
2023-11-14,"FAIRMONT CHATEAU LAKE LOU LAKE LOUISE, AB",5.51,UTILITY
2023-11-14,"PHO HOAI VIETNAMESE BEEF CALGARY, AB",12.59,RESTAURANT
2023-11-14,"BCF - ONLINE SALES & BOOK VICTORIA, BC",19.2,EDUCATION
2023-11-14,"TT* ROAMTRANSI NOV11 BANFF, AB",2.0,TRAVEL
2023-11-14,"COMPASS WEB 604-398-2042, BC",23.95,UTILITY
2023-11-14,"MS* SAMESUNBANFF VANCOUVER, BC",70.68,TRAVEL
2023-11-14,"BCF - ONLINE SALES & BOOK VICTORIA, BC",19.2,EDUCATION
2023-11-14,AIRBNB * HMRQM4YDB5 AIRBNB.COM,285.51,UTILITY
2023-11-14,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2023-11-10,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,MARKET
2023-11-09,"KIMS MART VANCOUVER, BC",15.09,MARKET
2023-11-09,"AIR CAN* 0142183545572 AIRCANADA.COM, MB",303.3,UTILITY
2023-11-09,"SAFEWAY #4966 VANCOUVER, BC",7.28,MARKET
2023-11-09,"AIR CAN* 0142183545512 AIRCANADA.COM, MB",277.66,UTILITY
2023-11-08,"T&T SUPERMARKET #029 VANCOUVER, BC",15.55,MARKET
2023-11-07,"SQ *ANALOG COFFEE YALETOW Vancouver, BC",4.2,CAFE
2023-11-07,"KIMS MART VANCOUVER, BC",14.11,MARKET
2023-11-06,"HANNAM SUPERMARKET ROB VANCOUVER, BC",18.82,MARKET
2023-11-06,"SQ *ANALOG COFFEE YALETOW Vancouver, BC",4.36,CAFE
2023-11-06,"COMPASS WEB 604-398-2042, BC",20.0,UTILITY
2023-11-02,"VIVO GREEN CORPORATION CALGARY, AB",129.8,TRAVEL
2023-10-31,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",8.97,MARKET
2023-10-30,"KIMS MART VANCOUVER, BC",21.69,MARKET
2023-10-30,"AMZN Mktp CA*O88WT9703 WWW.AMAZON.CA, ON",54.69,ONLINE
2023-10-30,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-10-30,"GIOVANE CAFFE VANCOUVER, BC",4.15,CAFE
2023-10-27,"BELL MOBILITY VERDUN, QC",75.5,UTILITY
2023-10-26,"COMPASS WEB 604-398-2042, BC",10.0,UTILITY
2023-10-26,"HANNAM SUPERMARKET ROB VANCOUVER, BC",9.99,MARKET
2023-10-24,PURCHASE INTEREST,0.09,OTHER
2023-10-24,"BUY LOW FOODS 4513 VANCOUVER, BC",12.0,MARKET
2023-10-23,"WAL-MART SUPERCENTER#1213 BURNABY, BC",3.77,MARKET
2023-10-23,"REAL CDN SUPERSTORE #1 BURNABY, BC",28.91,MARKET
2023-10-23,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2023-10-23,"KIMS MART VANCOUVER, BC",11.17,MARKET
2023-10-23,"AMZN Mktp CA*WL3879UZ3 WWW.AMAZON.CA, ON",52.63,ONLINE
2023-10-20,"TREES ORGANIC COFFEE VANCOUVER, BC",4.46,CAFE
2023-10-19,"VANCOUVER PB RECREATIO VANCOUVER, BC",73.5,WORKOUT
2023-10-19,"VANCOUVER PB RECREATIO VANCOUVER, BC",73.5,WORKOUT
2023-10-19,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-10-19,"DISTRICT FACTORY OUTLET VANCOUVER, BC",4.45,OFFLINE
2023-10-18,"AMZN Mktp CA*TP5118292 WWW.AMAZON.CA, ON",27.99,ONLINE
2023-10-18,"AMZN Mktp CA*TP9NU2P61 WWW.AMAZON.CA, ON",35.45,ONLINE
2023-10-17,"AMZN Mktp CA*TP6AJ5602 WWW.AMAZON.CA, ON",29.1,ONLINE
2023-10-16,"REAL CDN SUPERSTORE #1 BURNABY, BC",1.31,MARKET
2023-10-16,"T&T SUPERMARKET #001 BURNABY, BC",11.57,MARKET
2023-10-16,"PRICESMART FOODS #2281 BURNABY, BC",5.79,MARKET
2023-10-13,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2023-10-12,"NGON BANH MI & TEA VANCOUVER, BC",5.5,RESTAURANT
2023-10-11,"T&T SUPERMARKET #029 VANCOUVER, BC",9.88,MARKET
2023-10-10,"WAL-MART SUPERCENTER#1213 BURNABY, BC",18.75,MARKET
2023-10-10,"H-MART COQUITLAM, BC",91.67,MARKET
2023-10-10,"PRICESMART FOODS #2281 BURNABY, BC",24.88,MARKET
2023-10-10,"T&T SUPERMARKET #001 BURNABY, BC",13.61,MARKET
2023-10-10,"WAL-MART SUPERCENTER#1213 BURNABY, BC",4.7,MARKET
2023-10-10,"HANNAM SUPERMARKET BUR BURNABY, BC",28.49,MARKET
2023-10-10,"T&T SUPERMARKET #001 BURNABY, BC",5.99,MARKET
2023-10-10,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2023-10-10,"HANNAM SUPERMARKET BUR BURNABY, BC",27.96,MARKET
2023-10-10,"BIG WAY HOT POT BURNABY, BC",27.73,RESTAURANT
2023-10-10,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-10-10,"PRICESMART FOODS #2281 BURNABY, BC",8.9,MARKET
2023-10-10,"DAISO METROTOWN BURNABY, BC",2.81,MARKET
2023-10-06,"BELL MOBILITY VERDUN, QC",72.8,UTILITY
2023-10-06,"TREES ORGANIC COFFEE VANCOUVER, BC",4.46,CAFE
2023-10-05,"REAL CDN SUPERSTORE #1 BURNABY, BC",33.0,MARKET
2023-10-05,"SAVE ON FOODS #2225 BURNABY, BC",6.99,MARKET
2023-10-05,"AMZN Mktp CA*TE5DZ7Z32 WWW.AMAZON.CA, ON",12.3,ONLINE
2023-10-04,"AMZN Mktp CA*T93DX4OP1 WWW.AMAZON.CA, ON",6.69,ONLINE
2023-10-04,"AMZN Mktp CA*T919Q1FJ1 WWW.AMAZON.CA, ON",11.19,ONLINE
2023-10-04,"AMZN Mktp CA*T98CA8Y12 WWW.AMAZON.CA, ON",21.16,ONLINE
2023-10-03,"SAVE ON FOODS #940 VANCOUVER, BC",15.99,MARKET
2023-10-03,"NGON BANH MI & TEA VANCOUVER, BC",5.0,CAFE
2023-10-03,"T&T SUPERMARKET #029 VANCOUVER, BC",5.32,MARKET
2023-10-03,"CHICKO CHICKEN VANCOUVER VANCOUVER, BC",17.26,RESTAURANT
2023-10-03,"H-MART COQUITLAM, BC",12.3,MARKET
2023-10-03,"HANNAM SUPERMARKET BUR BURNABY, BC",128.25,MARKET
2023-10-03,"SAVE ON FOODS #940 VANCOUVER, BC",48.92,MARKET
2023-09-28,"BRAINSTATION TORONTO, ON",157.5,EDUCATION
2023-09-28,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",19.51,MARKET
2023-09-28,"TREES ORGANIC COFFEE VANCOUVER, BC",9.55,CAFE
2023-09-25,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2023-09-25,"OJAS BLEND VANCOUVER, BC",12.85,RESTAURANT
2023-09-25,"TORIMARU VANCOUVER, BC",13.44,RESTAURANT
2023-09-25,"IKEA RICHMOND RICHMOND, BC",2.22,MARKET
2023-09-25,"T&T SUPERMARKET #025 VANCOUVER, BC",5.88,MARKET
2023-09-22,PURCHASE INTEREST,7.03,OTHER
2023-09-22,"BUY LOW FOODS 4513 VANCOUVER, BC",16.99,MARKET
2023-09-22,"SHOPPERS DRUG MART #22 VANCOUVER, BC",4.49,MARKET
2023-09-21,"VICTORIA'S SECRET STORE # VANCOUVER, BC",44.69,EDUCATION
2023-09-21,"MCDONALD'S #40298 VANCOUVER, BC",2.93,RESTAURANT
2023-09-21,"PHO 37 RESTAURANT Vancouver, BC",19.58,RESTAURANT
2023-09-20,"SING SING BEER BAR VANCOUVER, BC",26.67,RESTAURANT
2023-09-20,"WAL-MART SUPERCENTER#1213 BURNABY, BC",3.97,MARKET
2023-09-19,"THE MIGHTY OAK VANCOUVER, BC",3.94,CAFE
2023-09-19,"REAL CDN SUPERSTORE #1 BURNABY, BC",21.62,MARKET
2023-09-18,"SHOPPERS DRUG MART 227 VANCOUVER, BC",3.99,MARKET
2023-09-18,"T&T SUPERMARKET #001 BURNABY, BC",13.31,MARKET
2023-09-15,"WHOLE FOODS MARKET VANCOUVER, BC",4.99,MARKET
2023-09-15,"SAFEWAY #4941 VANCOUVER, BC",22.37,MARKET
2023-09-13,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",4.18,MARKET
2023-09-11,BLDZETY.COMRESUME 8446737863,4.0,OTHER
2023-09-11,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.2,UTILITY
2023-09-11,"SAVE ON FOODS #921 VICTORIA, BC",2.61,MARKET
2023-09-11,"BISTRO CHI-Q VICTORIA, BC",30.45,EDUCATION
2023-09-11,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",3.07,MARKET
2023-09-11,"VICTORIA POCHA VICTORIA, BC",21.95,EDUCATION
2023-09-08,"RAMEN ARASHI VICTORIA, BC",25.3,EDUCATION
2023-09-08,"GREEN LEAF VIETNAMESE BIS VICTORIA, BC",69.3,EDUCATION
2023-09-07,"POPEYES #13590 RICHMOND, BC",12.26,RESTAURANT
2023-09-07,"BCF-TSA SELF SERVE TICKET DELTA, BC",19.2,UTILITY
2023-09-07,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-09-06,"SQ *HODUYA BAKERY VANCOUVER, BC",24.15,CAFE
2023-09-05,"HELLCRUST PIZZA VANCOUVER, BC",8.39,RESTAURANT
2023-09-05,"OO LALA BURNABY, BC",24.15,RESTAURANT
2023-09-05,"SAVE ON FOODS #937 VANCOUVER, BC",9.35,MARKET
2023-09-05,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-09-05,"WHOLE FOODS MARKET VANCOUVER, BC",6.56,MARKET
2023-09-05,"KIN'S FARM CSQ VANCOUVER, BC",2.28,MARKET
2023-09-05,"SHOPPERS DRUG MART #22 VANCOUVER, BC",11.89,MARKET
2023-09-05,"SAVE ON FOODS #937 VANCOUVER, BC",15.89,MARKET
2023-09-05,"WINNERSHOMESENSE 40207 VANCOUVER, BC",23.5,MARKET
2023-09-01,"MCDONALD'S #1449 COQUITLAM, BC",3.45,RESTAURANT
2023-09-01,"OO LALA BURNABY, BC",16.63,RESTAURANT
2023-08-31,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-08-30,"SOL LEE'S COQUITLAM, BC",26.03,RESTAURANT
2023-08-29,"WAL-MART SUPERCENTER#3008 BURNABY, BC",12.79,MARKET
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",17.11,MARKET
2023-08-28,"DAE BAK BON GA RESTAURANT VANCOUVER, BC",25.4,RESTAURANT
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",8.9,MARKET
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",34.6,MARKET
2023-08-28,"BELL MOBILITY VERDUN, QC",74.15,UTILITY
2023-08-28,"HANNAM SUPERMARKET BUR BURNABY, BC",31.45,MARKET
2023-08-28,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-08-25,"AT* VANCOUVER AQUARIUM VANCOUVER, BC",42.7,CULTURE
2023-08-25,"ANGUS T VANCOUVER, BC",4.99,CAFE
2023-08-25,"H-MART COQUITLAM, BC",6.29,MARKET
2023-08-24,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2023-08-24,"HANNAM SUPERMARKET BUR BURNABY, BC",17.43,MARKET
2023-08-24,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2023-08-21,ATP MEDIA ESHER,2.0,OTHER
2023-08-18,"WATER STREET CAFE VANCOUVER, BC",26.14,CAFE
2023-08-17,"GROUNDS FOR COFFEE INC VANCOUVER, BC",4.73,CAFE
2023-08-17,"REXALL PHARMACY #7174 VANCOUVER, BC",10.07,MARKET
2023-08-17,"H-MART DOWNTOWN VANCOUVER, BC",8.98,MARKET
2023-08-16,"SAVE ON FOODS #993 VANCOUVER, BC",5.99,MARKET
2023-08-14,"T&T SUPERMARKET #025 VANCOUVER, BC",9.94,MARKET
2023-08-14,"SAFEWAY #4979 VANCOUVER, BC",10.6,MARKET
2023-08-11,BLDZETY.COMRESUME 8446737863,9.7,OTHER
2023-08-09,"BCF - NEWWESTMSTER, QUEEN VICTORIA, BC",6.38,EDUCATION
2023-08-09,"T&T SUPERMARKET #025 VANCOUVER, BC",9.7,MARKET
2023-08-09,"COMPASS VENDING BURNABY, BC",8.85,UTILITY
2023-08-09,"THRIFTY FOODS #9451 VICTORIA, BC",19.4,MARKET
2023-08-08,"IGA# 5273 BANFF, AB",26.11,TRAVEL
2023-08-08,"SAVE ON FOODS #922 SIDNEY, BC",22.0,MARKET
2023-08-08,"THE PLATE CALGARY, AB",59.42,TRAVEL
2023-08-08,"CINEPLEX 3134 QPS CALGARY, AB",29.38,CULTURE
2023-08-08,"COMPASS VENDING BURNABY, BC",20.0,UTILITY
